변환,한국은행 기준금리,국고채(3년) 시장금리,국고채(10년) 시장금리,"회사채(3년, AA-) 시장금리",원달러 환율
2019-01-02,1.75,1.802,1.948,2.27,"1,118.10"
2019-01-03,1.75,1.796,1.955,2.265,"1,119.00"
2019-01-04,1.75,1.797,1.972,2.259,"1,127.50"
2019-01-07,1.75,1.807,1.977,2.268,"1,125.20"
2019-01-08,1.75,1.81,1.994,2.269,"1,118.00"
2019-01-09,1.75,1.809,1.985,2.27,"1,121.70"
2019-01-10,1.75,1.796,1.964,2.259,"1,121.60"
2019-01-11,1.75,1.804,1.992,2.262,"1,118.90"
2019-01-14,1.75,1.797,1.973,2.257,"1,117.60"
2019-01-15,1.75,1.797,1.968,2.258,"1,121.40"
2019-01-16,1.75,1.803,1.982,2.258,"1,120.10"
2019-01-17,1.75,1.795,1.976,2.255,"1,122.00"
2019-01-18,1.75,1.814,2.008,2.267,"1,121.40"
2019-01-21,1.75,1.821,2.028,2.271,"1,121.30"
2019-01-22,1.75,1.803,1.997,2.255,"1,126.50"
2019-01-23,1.75,1.803,1.984,2.256,"1,130.20"
2019-01-24,1.75,1.81,1.993,2.261,"1,128.20"
2019-01-25,1.75,1.812,2.005,2.261,"1,128.00"
2019-01-28,1.75,1.82,2.019,2.267,"1,125.10"
2019-01-29,1.75,1.823,2.035,2.269,"1,116.90"
2019-01-30,1.75,1.827,2.051,2.272,"1,118.10"
2019-01-31,1.75,1.809,2.001,2.256,"1,117.20"
2019-02-01,1.75,1.803,1.983,2.251,"1,111.60"
2019-02-07,1.75,1.801,1.995,2.249,"1,116.80"
2019-02-08,1.75,1.786,1.965,2.234,"1,123.40"
2019-02-11,1.75,1.781,1.943,2.229,"1,124.50"
2019-02-12,1.75,1.796,1.978,2.242,"1,124.50"
2019-02-13,1.75,1.801,1.987,2.247,"1,124.60"
2019-02-14,1.75,1.794,1.99,2.242,"1,121.70"
2019-02-15,1.75,1.779,1.962,2.231,"1,125.00"
2019-02-18,1.75,1.804,1.997,2.251,"1,127.70"
2019-02-19,1.75,1.8,1.996,2.249,"1,124.70"
2019-02-20,1.75,1.802,1.992,2.252,"1,127.50"
2019-02-21,1.75,1.811,2.01,2.258,"1,122.60"
2019-02-22,1.75,1.814,2.008,2.26,"1,124.40"
2019-02-25,1.75,1.819,2.012,2.265,"1,125.70"
2019-02-26,1.75,1.816,2.003,2.261,"1,120.80"
2019-02-27,1.75,1.808,1.985,2.254,"1,118.30"
2019-02-28,1.75,1.813,1.987,2.261,"1,117.80"
2019-03-04,1.75,1.834,2.027,2.281,"1,119.90"
2019-03-05,1.75,1.836,2.029,2.283,"1,125.00"
2019-03-06,1.75,1.828,2.021,2.278,"1,125.80"
2019-03-07,1.75,1.817,2.005,2.269,"1,127.80"
2019-03-08,1.75,1.802,1.973,2.255,"1,128.30"
2019-03-11,1.75,1.81,1.986,2.261,"1,134.00"
2019-03-12,1.75,1.81,1.991,2.262,"1,134.50"
2019-03-13,1.75,1.795,1.966,2.248,"1,128.70"
2019-03-14,1.75,1.793,1.978,2.246,"1,131.50"
2019-03-15,1.75,1.803,1.989,2.256,"1,132.70"
2019-03-18,1.75,1.812,1.994,2.264,"1,136.10"
2019-03-19,1.75,1.81,1.979,2.262,"1,133.70"
2019-03-20,1.75,1.813,1.981,2.265,"1,130.90"
2019-03-21,1.75,1.793,1.932,2.247,"1,130.40"
2019-03-22,1.75,1.8,1.934,2.254,"1,125.80"
2019-03-25,1.75,1.77,1.888,2.225,"1,129.80"
2019-03-26,1.75,1.763,1.905,2.217,"1,134.90"
2019-03-27,1.75,1.722,1.845,2.187,"1,132.10"
2019-03-28,1.75,1.679,1.81,2.151,"1,134.70"
2019-03-29,1.75,1.69,1.833,2.163,"1,137.80"
2019-04-01,1.75,1.726,1.866,2.197,"1,136.10"
2019-04-02,1.75,1.706,1.856,2.178,"1,132.70"
2019-04-03,1.75,1.72,1.889,2.193,"1,135.80"
2019-04-04,1.75,1.72,1.877,2.194,"1,134.90"
2019-04-05,1.75,1.735,1.893,2.207,"1,135.50"
2019-04-08,1.75,1.723,1.868,2.196,"1,136.40"
2019-04-09,1.75,1.725,1.872,2.197,"1,141.40"
2019-04-10,1.75,1.731,1.871,2.201,"1,142.80"
2019-04-11,1.75,1.732,1.867,2.202,"1,141.20"
2019-04-12,1.75,1.733,1.881,2.204,"1,139.20"
2019-04-15,1.75,1.761,1.926,2.23,"1,140.50"
2019-04-16,1.75,1.765,1.932,2.234,"1,133.90"
2019-04-17,1.75,1.778,1.947,2.249,"1,135.70"
2019-04-18,1.75,1.741,1.893,2.215,"1,136.10"
2019-04-19,1.75,1.756,1.899,2.228,"1,136.20"
2019-04-22,1.75,1.769,1.929,2.241,"1,137.10"
2019-04-23,1.75,1.768,1.923,2.238,"1,140.80"
2019-04-24,1.75,1.749,1.912,2.219,"1,141.10"
2019-04-25,1.75,1.724,1.879,2.195,"1,146.90"
2019-04-26,1.75,1.72,1.876,2.191,"1,158.70"
2019-04-29,1.75,1.712,1.864,2.184,"1,159.70"
2019-04-30,1.75,1.699,1.845,2.171,"1,158.20"
2019-05-02,1.75,1.732,1.885,2.201,"1,163.80"
2019-05-03,1.75,1.739,1.9,2.204,"1,163.90"
2019-05-07,1.75,1.723,1.885,2.189,"1,169.40"
2019-05-08,1.75,1.717,1.878,2.184,"1,169.80"
2019-05-09,1.75,1.708,1.861,2.176,"1,169.90"
2019-05-10,1.75,1.719,1.873,2.187,"1,175.80"
2019-05-13,1.75,1.721,1.874,2.186,"1,178.10"
2019-05-14,1.75,1.711,1.868,2.177,"1,183.10"
2019-05-15,1.75,1.71,1.865,2.175,"1,187.00"
2019-05-16,1.75,1.675,1.82,2.146,"1,189.40"
2019-05-17,1.75,1.67,1.822,2.145,"1,189.80"
2019-05-20,1.75,1.681,1.847,2.157,"1,192.70"
2019-05-21,1.75,1.663,1.83,2.142,"1,192.90"
2019-05-22,1.75,1.667,1.828,2.144,"1,193.30"
2019-05-23,1.75,1.648,1.808,2.131,"1,194.60"
2019-05-24,1.75,1.643,1.792,2.126,"1,191.20"
2019-05-27,1.75,1.652,1.797,2.131,"1,189.60"
2019-05-28,1.75,1.654,1.793,2.13,"1,184.10"
2019-05-29,1.75,1.619,1.741,2.103,"1,187.60"
2019-05-30,1.75,1.626,1.741,2.11,"1,193.10"
2019-05-31,1.75,1.587,1.682,2.075,"1,190.00"
2019-06-03,1.75,1.575,1.691,2.074,"1,191.20"
2019-06-04,1.75,1.57,1.684,2.07,"1,183.00"
2019-06-05,1.75,1.542,1.654,2.05,"1,181.50"
2019-06-07,1.75,1.537,1.656,2.047,"1,179.80"
2019-06-10,1.75,1.533,1.661,2.048,"1,179.50"
2019-06-11,1.75,1.542,1.68,2.053,"1,184.00"
2019-06-12,1.75,1.469,1.6,1.999,"1,181.70"
2019-06-13,1.75,1.48,1.613,2.002,"1,181.70"
2019-06-14,1.75,1.47,1.591,1.989,"1,184.70"
2019-06-17,1.75,1.491,1.621,2.005,"1,184.00"
2019-06-18,1.75,1.493,1.614,2.007,"1,186.30"
2019-06-19,1.75,1.484,1.601,1.995,"1,185.00"
2019-06-20,1.75,1.42,1.545,1.939,"1,177.00"
