변환,한국은행 기준금리,소비자물가 총지수,근원 소비자물가지수 (식료품 및 에너지제외 지수),생활물가지수,통화량(M2),통화량(M1),경제활동인구 실업률(원계열),경제활동인구 실업률(계절조정),전산업생산지수(원계열),전산업생산지수(계절조정),현재가계부채CSI,주택매매가격지수
Jan-19,1.75,98.884,99.223,98.644,"2,550,186.40","851,285.00",4.5,3.9,98.3,100.5,102,79.877
Feb-19,1.75,99.311,99.695,99.194,"2,552,413.40","855,607.10",4.7,3.8,89.6,98.1,102,79.824
Mar-19,1.75,99.121,99.544,99.042,"2,570,410.50","859,381.60",4.3,3.8,101.4,99.4,102,79.74
Apr-19,1.75,99.481,99.695,99.384,"2,582,127.40","860,614.90",4.4,4,100.8,101,101,79.63
May-19,1.75,99.652,99.705,99.839,"2,586,775.90","864,190.10",4,3.8,102.1,100.9,101,79.577
Jun-19,1.75,99.491,99.638,99.744,"2,606,774.30","866,065.40",4,3.9,102,99.9,100,79.508
Jul-19,1.5,99.187,99.837,98.995,"2,620,523.20","870,150.20",3.9,4,101.5,101.7,100,79.502
Aug-19,1.5,99.425,99.969,99.308,"2,644,959.40","877,292.50",3,3.6,99.2,101.6,100,79.546
Sep-19,1.5,99.794,99.534,100.104,"2,662,001.20","881,885.40",3.1,3.6,99,101.6,100,79.589
Oct-19,1.25,100.041,99.761,100.474,"2,682,026.60","885,069.40",3,3.5,102.9,101.9,100,79.664
Nov-19,1.25,99.481,99.534,99.915,"2,710,328.80","901,881.10",3.1,3.7,103.4,102,100,79.776
Dec-19,1.25,99.719,99.62,100.047,"2,716,614.00","924,583.70",3.4,3.5,112.9,103.1,101,80.054
Jan-20,1.25,100.09,99.84,100.36,"2,743,827.90","943,726.70",4.1,3.4,98.2,103.4,100,80.337
Feb-20,1.25,100.16,100.07,100.43,"2,776,793.50","960,383.80",4.1,3.4,94.3,100,99,80.634
Mar-20,0.75,99.94,99.75,100.38,"2,798,640.80","983,321.10",4.2,3.9,102,98.6,100,81.084
Apr-20,0.75,99.5,99.79,99.57,"2,854,169.70","1,003,303.40",4.2,3.9,95.3,97.3,104,81.27
May-20,0.5,99.44,99.93,99.34,"2,898,342.40","1,030,804.20",4.5,4.3,95.8,96,102,81.382
Jun-20,0.5,99.71,100.02,99.8,"2,919,411.80","1,051,986.00",4.3,4.2,102.2,98.8,102,81.776
Jul-20,0.5,99.63,100.17,99.31,"2,939,115.70","1,071,185.70",4,4.2,99.1,99.8,102,82.495
Aug-20,0.5,100.19,100.36,100.01,"2,957,901.90","1,089,794.60",3.1,3.9,95.3,99.6,101,83.137
Sep-20,0.5,100.74,100.16,101.09,"2,982,103.50","1,110,607.40",3.6,4.2,101.8,100.9,103,83.798
Oct-20,0.5,100.18,99.5,99.79,"3,013,051.70","1,134,044.70",3.7,4.3,99.5,101.5,103,84.359
Nov-20,0.5,100.09,100.16,99.87,"3,039,765.80","1,149,926.10",3.4,4.1,102.7,102.5,102,85.568
Dec-20,0.5,100.33,100.26,100.05,"3,052,959.40","1,168,255.50",4.1,4.1,113.8,101.5,103,86.735
Jan-21,0.5,101.04,100.56,101.2,"3,082,103.70","1,196,070.90",5.7,4.6,98.1,101.7,103,87.767
Feb-21,0.5,101.58,100.7,102.11,"3,112,805.60","1,212,382.40",4.9,4.1,94.5,103.7,102,88.962
Mar-21,0.5,101.84,100.82,102.53,"3,139,751.80","1,230,938.60",4.3,4,108.3,104.4,104,95.523
Apr-21,0.5,101.98,101.01,102.65,"3,176,515.70","1,250,505.50",4,3.8,103.7,104,103,96.536
May-21,0.5,102.05,101.12,102.67,"3,208,328.80","1,263,853.80",4,3.8,103.2,104.4,103,97.462
Jun-21,0.5,102.05,101.14,102.8,"3,219,485.90","1,276,801.40",3.8,3.7,109.7,105,102,98.739
Jul-21,0.5,102.26,101.45,102.77,"3,257,056.30","1,292,895.10",3.2,3.3,104.2,105.1,103,99.891
Aug-21,0.75,102.75,101.7,103.33,"3,293,240.30","1,311,850.90",2.6,3.4,101.5,105,102,101.386
Sep-21,0.75,103.17,101.58,104.23,"3,314,910.60","1,330,596.80",2.7,3.1,104.6,106.1,102,102.929
Oct-21,0.75,103.35,101.83,104.42,"3,350,841.40","1,344,580.30",2.8,3.3,105.3,106.7,103,104.008
Nov-21,1,103.87,102.06,105.08,"3,394,545.90","1,359,648.90",2.6,3.1,109.2,108.3,102,105.156
Dec-21,1,104.04,102.51,104.68,"3,411,438.00","1,354,246.20",3.5,3.2,123.5,109.5,103,105.682
Jan-22,1.25,104.85,103.17,105.58,"3,449,516.30","1,366,028.70",4.1,3.2,104.8,110.1,101,105.978
