year,slot,ticker,name,expense,is_plain,is_hedged,aum_억,avg_value_억,year_end_date
2015,국내주식_코스피,148020,RISE 200,0.017,True,False,7571,152.7,2015-12-30
2015,국내주식_코스닥,232080,TIGER 코스닥150,0.19,True,False,11024,70.7,2015-12-30
2015,무위험(현금성),130730,KIWOOM 단기자금,0.05,True,False,1224,310.9,2015-12-30
2016,국내주식_코스피,148020,RISE 200,0.017,True,False,8335,148.8,2016-12-29
2016,국내주식_코스닥,232080,TIGER 코스닥150,0.19,True,False,9454,47.8,2016-12-29
2016,무위험(현금성),130730,KIWOOM 단기자금,0.05,True,False,1241,148.9,2016-12-29
2017,국내주식_코스피,148020,RISE 200,0.017,True,False,10632,142.1,2017-12-28
2017,국내주식_코스닥,270810,RISE 코스닥150,0.02,True,False,3553,39.7,2017-12-28
2017,국내채권_종합,272560,RISE 단기국공채액티브,0.07,True,False,1716,136.8,2017-12-28
2017,무위험(현금성),196230,RISE 단기통안채,0.13,True,False,2477,69.4,2017-12-28
2018,국내주식_코스피,148020,RISE 200,0.017,True,False,8791,146.8,2018-12-28
2018,국내주식_코스닥,270810,RISE 코스닥150,0.02,True,False,2946,23.7,2018-12-28
2018,국내채권_국고채장기,302190,TIGER 중장기국채,0.13,True,False,2452,11.2,2018-12-28
2018,무위험(현금성),196230,RISE 단기통안채,0.13,True,False,2519,134.8,2018-12-28
2019,국내주식_코스피,148020,RISE 200,0.017,True,False,10062,161.3,2019-12-30
2019,국내주식_코스닥,270810,RISE 코스닥150,0.02,True,False,2612,26.8,2019-12-30
2019,국내채권_국고채단중기,114260,KODEX 국고채3년,0.15,True,False,5232,12.5,2019-12-30
2019,국내채권_국고채장기,148070,KIWOOM 국고채10년,0.05,True,False,4604,19.5,2019-12-30
2019,국내채권_종합,273130,KODEX 종합채권(AA-이상)액티브,0.045,True,False,38052,36.4,2019-12-30
2019,무위험(현금성),130730,KIWOOM 단기자금,0.05,True,False,1300,166.4,2019-12-30
2020,국내주식_코스피,148020,RISE 200,0.017,True,False,13622,163.4,2020-12-30
2020,국내주식_코스닥,232080,TIGER 코스닥150,0.19,True,False,16175,120.4,2020-12-30
2020,미국주식_SP500,360750,TIGER 미국S&P500,0.006,True,False,60914,27.2,2020-12-30
2020,미국주식_나스닥,367380,ACE 미국나스닥100,0.006,True,False,10470,51.1,2020-12-30
2020,신흥국_중국,371160,TIGER 차이나항셍테크,0.09,True,False,10974,55.9,2020-12-30
2020,국내채권_국고채장기,148070,KIWOOM 국고채10년,0.05,True,False,4670,20.3,2020-12-30
2020,국내채권_종합,273130,KODEX 종합채권(AA-이상)액티브,0.045,True,False,38700,32.3,2020-12-30
2020,무위험(현금성),130730,KIWOOM 단기자금,0.05,True,False,1314,324.2,2020-12-30
2021,국내주식_코스피,105190,ACE 200,0.017,True,False,5805,121.9,2021-12-30
2021,국내주식_코스닥,232080,TIGER 코스닥150,0.19,True,False,16035,40.5,2021-12-30
2021,미국주식_SP500,360200,ACE 미국S&P500,0.004,True,False,18787,32.2,2021-12-30
2021,미국주식_나스닥,379810,KODEX 미국나스닥100,0.006,True,False,33212,30.7,2021-12-30
2021,신흥국_중국,371160,TIGER 차이나항셍테크,0.09,True,False,7851,55.7,2021-12-30
2021,국내채권_국고채장기,148070,KIWOOM 국고채10년,0.05,True,False,4556,17.4,2021-12-30
2021,국내채권_종합,273130,KODEX 종합채권(AA-이상)액티브,0.045,True,False,38115,22.5,2021-12-30
